OBJECTID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT,Shape__Area,Shape__Length
109,306,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,260257.914428711,5008.62145160281
110,309,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,56893.1110839844,2293.37711986382
111,310,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,559392.818847656,18246.6032595157
112,312,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,14408.3892822266,1348.61227371899
113,317,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,125120.906921387,2948.94519972502
114,319,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,33720.3217163086,1439.62507337411
115,322,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,110356.536071777,2599.39077771393
116,323,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,6124.89514160156,442.09045144063
117,324,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,95166.1375732422,2051.24294454377
118,326,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,129402.210388184,4217.74328126053
119,331,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,109429.34979248,1949.59206457862
120,333,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,23839.7913818359,994.275037525189
121,334,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,120227.258850098,2631.44343640351
122,335,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,260563.46697998,9094.73247852076
123,336,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,32158.5930786133,1090.38699002659
124,339,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,298167.344604492,14815.8209784909
125,340,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,112534.598815918,3278.88326162125
126,341,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,29784.7892456055,2739.22169760075
127,342,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,57558.6929321289,1557.0918850669
128,343,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,4539.03405761719,590.993221322285
129,346,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,17134.3666381836,1346.05881794192
130,348,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,7784.26342773438,725.933220818207
131,350,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,21185.7800292969,2029.39533147102
132,352,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,13182.7367553711,609.757372408297
133,353,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,122510.522521973,2420.92338699513
134,356,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,2410.89050292969,367.950692816752
135,357,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,85854.3339233398,2147.66672981817
136,358,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,113898.265136719,3720.72580422566
137,360,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,133063.344970703,3666.09229031902
138,363,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,24468.2624511719,1348.66710033695
139,365,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,35002.0532226563,896.526189127728
140,366,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,91558.7991943359,1699.52651510929
141,367,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,6361.64532470703,1045.49345260469
142,368,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,10957.4404907227,1468.25684818672
143,372,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,322602.528381348,5629.63013778149
144,375,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,3256.06213378906,314.986990662061
145,376,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,6704.14636230469,517.446059738336
146,378,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,1341.77313232422,223.91985163206
147,379,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,18504.8981933594,1007.77219359806
148,380,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,1951.70538330078,236.601189486642
149,381,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,24326.8625488281,901.122111820841
150,382,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,50242.0025024414,2840.02693259702
151,383,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,467822.702575684,6372.91696155596
152,384,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,101507.091064453,3487.37172541723
153,387,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,113742.374816895,2635.66825741361
154,388,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,111502.480651855,2872.00553976876
155,389,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,55445.4698486328,2181.31897244372
156,390,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,387853.864807129,11998.638043285
157,391,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,193561.900817871,3328.77603323566
158,394,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,15939.1107788086,969.442404715676
159,400,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,226183.939697266,7024.0912793933
160,403,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,1583.61785888672,278.485826496517
161,405,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,21295.4769287109,828.935822708713
162,406,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,15167.3666992188,843.178032757597
163,408,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,2688.01953125,621.028940196287
164,410,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,22714.6208496094,878.175444910384
165,411,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,19206.6233520508,2321.41928668864
166,415,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,964.004638671875,185.649853864896
167,416,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,8669.29028320313,606.972097033451
168,418,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,24542.8406982422,1245.72503539299
169,421,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,105194.391479492,3041.57523809742
170,422,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,144257.230224609,4898.28574455305
171,425,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,53648.2807617188,1890.25939270013
172,426,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,1495.09594726563,388.030752181777
173,429,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,15191.3212280273,802.063821364448
174,430,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,6663.22430419922,838.671365819527
175,431,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,642399.885925293,15823.475256877
176,432,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,131032.842468262,2426.98542825546
177,434,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,30707.5025024414,1451.3965390065
178,435,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,4454.85192871094,395.963186528637
179,436,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,23007.530456543,1213.27059844001
180,437,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,119015.669677734,1937.75481026583
181,439,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,13928.8665161133,1344.09353538049
182,440,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,319983.677246094,6899.81889492049
183,441,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,11040.9908447266,789.57095053728
184,443,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,211379.491943359,5121.77355852277
185,445,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,1165816.1072998,17679.0581026375
186,446,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,838885.702087402,7422.42551000316
187,447,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,42026.8884277344,1805.38557942319
188,448,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,12584.5621337891,1776.67209326003
189,450,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,14709.9418945313,1874.82821035238
190,451,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,15386.6741333008,1020.84525799609
191,453,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,41511.357421875,2571.66616020034
